
(0 行受影响)
DatbaseName                                                                                                                      SchemaName                                                                                                                       TableName                                                                                                                        IndexName
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Application                                                                                                                    IX_C_Application_Action_Date
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Application                                                                                                                    IX_C_Application_Action_Taken
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Application                                                                                                                    IX_C_Application_AddUpdate_Flag
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Application                                                                                                                    IX_C_Application_Amount_Limit 
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Application                                                                                                                    IX_C_Application_Application_Date
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Application                                                                                                                    IX_C_Application_Application_Type
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Application                                                                                                                    IX_C_Application_Case_Number
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Application                                                                                                                    IX_C_Application_Country_Code
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Application                                                                                                                    IX_C_Application_Decision
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Application                                                                                                                    IX_C_Application_Decision_Date
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Application                                                                                                                    IX_C_Application_Decision_Reason
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Application                                                                                                                    IX_C_Application_Expiry_Minutes
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Application                                                                                                                    IX_C_Application_Field_Error_Flag
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Application                                                                                                                    IX_C_Application_Fraud_Alert
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Application                                                                                                                    IX_C_Application_Fraud_Alert_Team
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Application                                                                                                                    IX_C_Application_Fraud_Alert_User_Id
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Application                                                                                                                    IX_C_Application_Fraud_Savings_Flag
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Application                                                                                                                    IX_C_Application_Fraud_Score
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Application                                                                                                                    IX_C_Application_Load_Date
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Application                                                                                                                    IX_C_Application_Load_Mode
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Application                                                                                                                    IX_C_Application_Load_Start_Time
