name,rows,reserved,data,index_size,unused
HC_CreditBureau,0,0 KB,0 KB,0 KB,0 KB
HC_Guarantor,1,16 KB,8 KB,8 KB,0 KB
HC_Introducer_Agent,1,16 KB,8 KB,8 KB,0 KB
HC_PreviousAddress_Company,0,0 KB,0 KB,0 KB,0 KB
HC_Reference,1,16 KB,8 KB,8 KB,0 KB
HC_Security,0,0 KB,0 KB,0 KB,0 KB
HC_U2A,0,0 KB,0 KB,0 KB,0 KB
HC_U2B,0,0 KB,0 KB,0 KB,0 KB
HC_U2C,0,0 KB,0 KB,0 KB,0 KB
HC_UCA,0,0 KB,0 KB,0 KB,0 KB
HC_UCB,0,0 KB,0 KB,0 KB,0 KB
HC_UCC,0,0 KB,0 KB,0 KB,0 KB
HC_User,1,16 KB,8 KB,8 KB,0 KB
HC_User2,0,0 KB,0 KB,0 KB,0 KB
HC_Valuer,0,0 KB,0 KB,0 KB,0 KB
HCriteria,84,32 KB,16 KB,16 KB,0 KB
HCriteria_Definition,84,40 KB,24 KB,16 KB,0 KB
HOrganisation_Rule_Sets,738,64 KB,56 KB,8 KB,0 KB
HProfile,2944,328 KB,296 KB,16 KB,16 KB
HProfile_Extension,2093,136 KB,104 KB,16 KB,16 KB
HReport_Profile,112,32 KB,16 KB,16 KB,0 KB
HRule_Sets,3142,856 KB,760 KB,32 KB,64 KB
HRules,2894,1040 KB,960 KB,24 KB,56 KB
HRules_Definition,6115,2584 KB,2496 KB,32 KB,56 KB
HSecurity,30,16 KB,8 KB,8 KB,0 KB
HSecurity_ApplicationType,38,16 KB,8 KB,8 KB,0 KB
HSecurity_Organisation,26,16 KB,8 KB,8 KB,0 KB
HSecurity_Rule_Admin_Group,1,16 KB,8 KB,8 KB,0 KB
Instinct_Dictionary,81,16 KB,8 KB,8 KB,0 KB
Instinct_Dictionary_Tables,9,16 KB,8 KB,8 KB,0 KB
Instinct_Parameters,152,40 KB,24 KB,16 KB,0 KB
Instinct_Registration,1,16 KB,8 KB,8 KB,0 KB
Link_Analysis_Maintenance,9,16 KB,8 KB,8 KB,0 KB
List_Report_Settings,80,16 KB,8 KB,8 KB,0 KB
List_Report_Templates,0,16 KB,8 KB,8 KB,0 KB
Lookup_Definition,17,16 KB,8 KB,8 KB,0 KB
Lookup_Fields_Names,17,16 KB,8 KB,8 KB,0 KB
Lookup_List,13,16 KB,8 KB,8 KB,0 KB
LookupTable_Codes,140,16 KB,8 KB,8 KB,0 KB
Matched_Applications,317669,140968 KB,56800 KB,73608 KB,10560 KB
Matched_Applications_History,504227,149008 KB,97504 KB,51424 KB,80 KB
Matched_Applications_TestRules,0,56 KB,8 KB,48 KB,0 KB
Menu,90,16 KB,8 KB,8 KB,0 KB
MSecurity,0,16 KB,8 KB,8 KB,0 KB
MSecurity_ApplicationType,0,16 KB,8 KB,8 KB,0 KB
MSecurity_Organisation,0,16 KB,8 KB,8 KB,0 KB
MSecurity_Rule_Admin_Group,0,0 KB,0 KB,0 KB,0 KB
Organisation,1,16 KB,8 KB,8 KB,0 KB
Organisation_Chart,1,16 KB,8 KB,8 KB,0 KB
Organisation_Rule_Sets,3,24 KB,16 KB,8 KB,0 KB
Organisation_Rule_Sets_Confirm,1,16 KB,8 KB,8 KB,0 KB
Profile,584,56 KB,40 KB,16 KB,0 KB
Profile_Extension,308,40 KB,24 KB,16 KB,0 KB
RecentDocuments,24,16 KB,8 KB,8 KB,0 KB
Reference_Tables,3,16 KB,8 KB,8 KB,0 KB
